Crime,Date,Address,Lat,Long,Link
Theft,10/13/12. 04:05 PM.,100 BLOCK OF GRAHAM AV SAN JOSE,37.3190725,-121.8796174,https://spotcrime.com/mobile/crime/?34284110-3278aa3f9a2577b7994a930580630b0a
Theft,10/13/12. 12:42 AM.,100 BLOCK OF E REED ST SAN JOSE,37.3280846,-121.8816834,https://spotcrime.com/mobile/crime/?34284106-3c4b682e7d3b119a76ea924556bd152e
Theft,10/13/12. 02:23 PM.,00 BLOCK OF EDWARDS AV SAN JOSE,37.3218617,-121.8794653,https://spotcrime.com/mobile/crime/?34284087-87391e07a9fc5731479485a565082200
Theft,10/14/12. 10:13 PM.,900 BLOCK OF GLENFINNAN WY SAN JOSE,37.3198952,-121.8464869,https://spotcrime.com/mobile/crime/?34284604-32d236e69e47c4f4fc1799e4e0378515
Theft,10/14/12. 07:30 PM.,700 BLOCK OF STORY RD SAN JOSE,37.3258448,-121.8652822,https://spotcrime.com/mobile/crime/?34284563-de08d62ed832b5298231811e5b569c60
Arrest,10/14/12. 02:22 AM.,500 BLOCK OF SPARTAN CT SAN JOSE,37.3241459,-121.8659002,https://spotcrime.com/mobile/crime/?34284488-0c160a15267d31a335f8be698c7ebc6c
Vandalism,10/14/12. 04:16 PM.,300 BLOCK OF W SAN CARL SAN JOSE,37.3286182,-121.8930231,https://spotcrime.com/mobile/crime/?34284425-83a952b52f6073622cb6ce722a4dbc88
Assault,10/14/12. 06:28 PM.,200 BLOCK OF SUNOL ST SAN JOSE,37.3262666,-121.9062067,https://spotcrime.com/mobile/crime/?34284384-5830460f78092de1c56adc7cd70e9648
Assault,10/14/12. 10:02 AM.,200 BLOCK OF SAN JOSE AV SAN JOSE,37.3096344,-121.8743758,https://spotcrime.com/mobile/crime/?34284379-5825bd1493152cc337e0905e8c837ac1
Assault,10/14/12. 02:44 AM.,1500 BLOCK OF FORD AV SAN JOSE,37.3139021,-121.8729701,https://spotcrime.com/mobile/crime/?34284315-c4a56a4ffb4c10216bb5a0b4456a2c4d
Theft,10/14/12. 07:46 AM.,1400 BLOCK OF ROBERTS AV SAN JOSE,37.3252568,-121.8559286,https://spotcrime.com/mobile/crime/?34284306-1113ff2ccc25e2af3ddfea9061ecac42
Assault,10/14/12. 10:28 AM.,1300 BLOCK OF LUCRETIA AV SAN JOSE,37.327377,-121.854285,https://spotcrime.com/mobile/crime/?34284276-5866f0d1c9ca574c8a3fe154c0e167b9
Assault,10/14/12. 12:14 AM.,1100 BLOCK OF MASTIC ST SAN JOSE,37.3185692,-121.8797358,https://spotcrime.com/mobile/crime/?34284200-856bda2b0c71a4b5173ce9e768a60e24
Theft,10/14/12. 04:03 PM.,1000 BLOCK OF STORY RD SAN JOSE,37.3311594,-121.8558285,https://spotcrime.com/mobile/crime/?34284151-6d1fcdf95baec861eb81c097b27dbd38
Shooting,10/14/12. 02:07 AM.,100 BLOCK OF SAN JOSE AV SAN JOSE,37.311237,-121.8720923,https://spotcrime.com/mobile/crime/?34284113-5693e75ec1f6880dadcc14135d133221
Burglary,10/15/12. 12:29 AM.,S. 22ND ST / SAN ANTONIO ST SAN JOSE,37.3429744,-121.8665698,https://spotcrime.com/mobile/crime/?34750653-1c45c9ad5e97c019b98d2ee78c845047
Burglary,10/15/12. 11:39 PM.,WOOSTER AVENUE/JULIAN STREET SAN JOSE,37.3527254,-121.8686387,https://spotcrime.com/mobile/crime/?34750652-32bb7b702ceb170338458600de63d052
Arrest,10/15/12. 06:12 PM.,PHELAN AV / SENTER RD SAN JOSE,37.3182507,-121.8586442,https://spotcrime.com/mobile/crime/?34284662-48203557ccaabcfc295961d1b918ac21
Shooting,10/15/12. 10:22 PM.,LUCRETIA AV SAN JOSE,37.3216129,-121.8490067,https://spotcrime.com/mobile/crime/?34284647-6ad2a7b0b836badafe0aacb452fc5480
Assault,10/15/12. 07:59 PM.,FAIR AV SAN JOSE,37.3247028,-121.8488426,https://spotcrime.com/mobile/crime/?34284641-bd2d6492433a824c001ffaa4e8cd023a
Arrest,10/15/12. 03:13 PM.,BELMONT WY SAN JOSE,37.3093097,-121.8866136,https://spotcrime.com/mobile/crime/?34284634-2f28ac3ab55271665411b7ee812f4215
Burglary,10/15/12. 09:33 AM.,900 BLOCK OF REMILLARD CT SAN JOSE,37.327927,-121.8609208,https://spotcrime.com/mobile/crime/?34284613-7a68168083bf9662bddc008a62bc23eb
Theft,10/15/12. 06:57 AM.,800 BLOCK OF VINE ST SAN JOSE,37.3216075,-121.8856272,https://spotcrime.com/mobile/crime/?34284598-a706a8b22047b942b42973f9583c19c6
Theft,10/15/12. 09:51 PM.,700 BLOCK OF STORY RD SAN JOSE,37.3258448,-121.8652822,https://spotcrime.com/mobile/crime/?34284573-e0e41744ea4db5e9fb1d47300afadcda
Theft,10/15/12. 07:18 PM.,700 BLOCK OF STORY RD SAN JOSE,37.3258448,-121.8652822,https://spotcrime.com/mobile/crime/?34284570-5b9b0407e23d6b2ec48ed6b58a124859
Arrest,10/15/12. 10:47 PM.,700 BLOCK OF S 2ND ST SAN JOSE,37.3260821,-121.8816233,https://spotcrime.com/mobile/crime/?34284555-0884e2b4b6e0659b5ced83154fc626c9
Vandalism,10/15/12. 04:07 PM.,700 BLOCK OF S 11TH ST SAN JOSE,37.3306089,-121.8721057,https://spotcrime.com/mobile/crime/?34284551-0e0a25848fe42c785d77f3753f2fdb66
Burglary,10/15/12. 11:09 AM.,600 BLOCK OF S 10TH ST SAN JOSE,37.3315985,-121.8742664,https://spotcrime.com/mobile/crime/?34284499-799589ce0f3e2a33df4e2b36e62eb70e
Theft,10/15/12. 01:34 AM.,500 BLOCK OF S 4TH ST SAN JOSE,37.3300774,-121.8817428,https://spotcrime.com/mobile/crime/?34284476-f1546a1f77c42b5b95bea7229bb22503
Assault,10/15/12. 10:05 PM.,500 BLOCK OF COLUMBIA AV SAN JOSE,37.3251018,-121.8979353,https://spotcrime.com/mobile/crime/?34284443-d4932ca46e32336469ce83420b59c013
Theft,10/15/12. 11:48 AM.,200 BLOCK OF WILLOW ST SAN JOSE,37.3189242,-121.8822224,https://spotcrime.com/mobile/crime/?34284388-0c01f1a2d183fe6d7f9d96d1d8fe0ce5
Theft,10/15/12. 06:40 AM.,1800 BLOCK OF S 7TH ST SAN JOSE,37.3119078,-121.8632067,https://spotcrime.com/mobile/crime/?34284345-21299a91c43344711b665f6ed48a24f6
Assault,10/16/12. 01:00 AM.,CROCKER AND EDENVIEW DRIVES SAN JOSE,37.2635515,-121.8126863,https://spotcrime.com/mobile/crime/?34469847-6db4f122c3b49b63e9338046ed2669b5
Shooting,10/16/12. 01:05 AM.,1300 BLOCK OF DUBERT LANE SAN JOSE,37.3282295,-121.8454863,https://spotcrime.com/mobile/crime/?34469846-37034531ae80871d4e72bc6803f9f0bf
Burglary,10/16/12. 07:04 PM.,800 BLOCK OF HARLISS AV SAN JOSE,37.3201981,-121.8885626,https://spotcrime.com/mobile/crime/?34284582-18b56352ddd81139d6ff33ca222c34e9
Theft,10/16/12. 01:27 PM.,700 BLOCK OF STORY RD SAN JOSE,37.3258448,-121.8652822,https://spotcrime.com/mobile/crime/?34284575-ffda6189e08300b9543d68982b21945d
Theft,10/16/12. 05:12 PM.,700 BLOCK OF STORY RD SAN JOSE,37.3258448,-121.8652822,https://spotcrime.com/mobile/crime/?34284572-5f32e48f1d9ce88efb4d0624606abbbe
Theft,10/16/12. 01:14 PM.,200 BLOCK OF SHADOW RUN DR SAN JOSE,37.3115287,-121.8804935,https://spotcrime.com/mobile/crime/?34284380-c836ffdd8443b64bef71a96ce1717037
Theft,10/16/12. 09:43 AM.,200 BLOCK OF EDWARDS AV SAN JOSE,37.3197309,-121.8828251,https://spotcrime.com/mobile/crime/?34284356-23f43bf64121c2368678a2d80fb7e0dd
Arrest,10/16/12. 08:15 PM.,1600 BLOCK OF MONTEREY RD SAN JOSE,37.313518,-121.8709053,https://spotcrime.com/mobile/crime/?34284330-e71f8af989df70acbd4ff8deb63f0bd8
Theft,10/16/12. 04:01 PM.,1500 BLOCK OF S 7TH ST SAN JOSE,37.3170907,-121.8677192,https://spotcrime.com/mobile/crime/?34284321-00a820c795658a3f83cb28d7ee550e05
Arrest,10/16/12. 02:58 PM.,1300 BLOCK OF S 1ST ST SAN JOSE,37.3175699,-121.8749383,https://spotcrime.com/mobile/crime/?34284284-b440e502cbbdf47365478ec20964eadb
Theft,10/16/12. 11:37 AM.,1100 BLOCK OF LINCOLN AV SAN JOSE,37.308392,-121.900676,https://spotcrime.com/mobile/crime/?34284191-1894223ca0ca888cea2765362a48763e
Burglary,10/16/12. 07:10 PM.,1000 BLOCK OF CHERRY AV SAN JOSE,37.308599,-121.9084443,https://spotcrime.com/mobile/crime/?34284128-6ea479a5f0f79bd69770006240178d1e
Theft,10/16/12. 09:14 PM.,1000 BLOCK OF ALGIERS AV SAN JOSE,37.3264781,-121.8506334,https://spotcrime.com/mobile/crime/?34284125-05a010c82bcef81efe8114e2dddb759a
Theft,10/16/12. 05:00 AM.,00 BLOCK OF WILLOW ST SAN JOSE,37.3210108,-121.8786069,https://spotcrime.com/mobile/crime/?34284098-a7908831f3828d2404f0de30a9eee3de
Arrest,10/17/12. 12:12 AM.,500 BLOCK OF S 2ND ST SAN JOSE,37.3290673,-121.883839,https://spotcrime.com/mobile/crime/?34284468-8d46a6ae5b4ad79e94e458732c99b400
Assault,10/17/12. 03:19 AM.,400 BLOCK OF AUZERAIS AV SAN JOSE,37.3262933,-121.8938066,https://spotcrime.com/mobile/crime/?34284429-b29034f7e2e17f01a7020d24b71fcb43
Theft,10/17/12. 04:20 AM.,2100 BLOCK OF GALVESTON AV SAN JOSE,37.3146201,-121.8460417,https://spotcrime.com/mobile/crime/?34284400-9c290d12f2df0fb73894fccc3b423b21
Theft,10/17/12. 07:12 AM.,1900 BLOCK OF SENTER RD SAN JOSE,37.3144054,-121.8545011,https://spotcrime.com/mobile/crime/?34284351-2798a1437227f01a7f17552202b90ec6
Shooting,10/18/12. 12:26 AM.,1700 BLOCK OF Â BERMUDA WAY SAN JOSE,37.3332879,-121.834278,https://spotcrime.com/mobile/crime/?34750573-0c1fbeb51e9d79c160df8c66dce130b2
Shooting,10/20/12. 05:15 AM.,3300 BLOCK OF SAN MARINO AVE SAN JOSE,37.3878215,-121.8384716,https://spotcrime.com/mobile/crime/?34750577-28e858356423ebe3f1d10862affd5cae
Assault,10/20/12. 01:38 AM.,1800 BLOCK OF MATRIX BLVD SAN JOSE,37.3705704,-121.9146555,https://spotcrime.com/mobile/crime/?34750576-4dc188d3c742a6a9a6df1ee0f175a1e4
Theft,10/20/12. 12:15 AM.,WASHINGTON ST./N 15TH ST. SAN JOSE,37.3494633,-121.8810726,https://spotcrime.com/mobile/crime/?34750575-0dfbd084ed3ed7da30f193096522c1a9
Robbery,10/21/12. 01:15 AM.,1100 BLOCK OF POMONA AVENUE SAN JOSE,37.3143184,-121.8769075,https://spotcrime.com/mobile/crime/?34750580-9d2d90def925d7e46059fa26a29715fc
Assault,10/21/12. 12:25 AM.,1500 BLOCK OF Â MICHIGAN AVE SAN JOSE,37.4301946,-121.9673575,https://spotcrime.com/mobile/crime/?34750579-3b547ab2364dbe9d4156c1aaafea91d0
Robbery,10/22/12. 01:37 AM.,S.1ST STREET/ HWY 280 SAN JOSE,37.4726421,-122.4358852,https://spotcrime.com/mobile/crime/?34750582-d52fdd017d370257f31b930c29f52b97
Robbery,10/23/12. 01:24 PM.,3100 BLOCK OF STORY RD. SAN JOSE,37.3561619,-121.8191182,https://spotcrime.com/mobile/crime/?34750614-39a182eb5130b862c7f699deb132590a
Burglary,10/23/12. 12:06 PM.,2600 BLOCK OF BRIARWOOD DR. SAN JOSE,37.2775513,-121.904924,https://spotcrime.com/mobile/crime/?34750613-e4901cedca7174a68938be8fc57f991a
Assault,10/23/12. 02:50 PM.,1700 BLOCK OF DE MARIETTA AVE. SAN JOSE,37.302521,-121.9248086,https://spotcrime.com/mobile/crime/?34750612-d4606e9369e051b36123e7bde3b72204
Shooting,10/25/12. 02:45 AM.,WESTERN DIVISION SAN JOSE,37.7692956,-122.4072158,https://spotcrime.com/mobile/crime/?34750616-09e2a5a6edf3deaaa392be83831bb184
Robbery,10/26/12. 09:07 PM.,2500 BLOCK OF ALUM ROCK (SHELL GAS STATION) SAN JOSE,37.329933,-121.902388,https://spotcrime.com/mobile/crime/?34750522-d474d569dd7a50e48b0435d340d64653
Robbery,10/26/12. 04:30 PM.,EDUCATIONAL PARK / SCHULTE SAN JOSE,37.364912,-121.8576869,https://spotcrime.com/mobile/crime/?34750521-3b7a7c544aa6af2aabfde303b3662eed
Assault,10/26/12. 03:30 PM.,00 BLOCK OF S. JACKSON AVE SAN JOSE,37.357718,-121.843423,https://spotcrime.com/mobile/crime/?34750520-13f9b9697d7359a305093887d16ed52e
Assault,10/26/12. 11:36 AM.,INDEPENDENCE HIGH SCHOOL SAN JOSE,37.3656126,-121.8572896,https://spotcrime.com/mobile/crime/?34750519-1e189b00cba15bc6816223601d169ebe
Theft,10/27/12. 03:27 AM.,NORTH FIRST STREET AND AYER AVENUE SAN JOSE,37.3450903,-121.8973166,https://spotcrime.com/mobile/crime/?35018884-1db606174530eebe2b9437aee7521854
Arrest,10/27/12. 11:09 AM.,3000 BLOCK OF SUNBURST DR SAN JOSE,37.2945487,-121.8421475,https://spotcrime.com/mobile/crime/?34750526-46b28450e331842810f74269e268a9a7
Robbery,10/27/12. 03:27 AM.,N 1ST / AYER AVE SAN JOSE,37.3450903,-121.8973166,https://spotcrime.com/mobile/crime/?34750525-f598bdc8b098d6d44b7a8c9aae9bb5e7
Assault,10/27/12. 02:40 AM.,1700 BLOCK OF STORY ROAD SAN JOSE,37.3398907,-121.8430102,https://spotcrime.com/mobile/crime/?34750524-b599a3ae0fd74e41cca7c5445f34f940
Shooting,10/28/12. 06:26 PM.,100 BLOCK OF 24TH STREET SAN JOSE,37.348385,-121.868704,https://spotcrime.com/mobile/crime/?35018888-50c8a3d05fdfc65e4ef2217d78db8c68
Shooting,10/28/12. 02:15 AM.,ALUM ROCK AND CAPITOL AVENUES SAN JOSE,37.357639,-121.8316076,https://spotcrime.com/mobile/crime/?35018887-a7c1cafa558c7451c6f212b8479683ec
Shooting,10/28/12. 12:25 AM.,3600 BLOCK OF SPRINGBROOK AVENUE SAN JOSE,37.32885,-121.775315,https://spotcrime.com/mobile/crime/?35018886-2c42b787e11e1627ffa26de7b956c3ef
Assault,10/28/12. 09:44 PM.,2700 BLOCK OF KOLMAR DRIVE SAN JOSE,37.7948109,-121.8934755,https://spotcrime.com/mobile/crime/?34750532-9e59869a1ff13c9b246061589f68c377
Robbery,10/28/12. 09:34 PM.,2500 BLOCK OF BERRYESSA ROAD SAN JOSE,37.3865928,-121.8603909,https://spotcrime.com/mobile/crime/?34750531-98dd1c4dc3004b501104eccfc02a4059
Shooting,10/28/12. 06:26 PM.,100 BLOCK OF 24TH ST. SAN JOSE,37.348385,-121.868704,https://spotcrime.com/mobile/crime/?34750530-a83de6a88fb48d937dc76c97959c047c
Robbery,10/28/12. 10:51 AM.,ALUM ROCK/ALEXANDER SAN JOSE,37.377633,-121.846965,https://spotcrime.com/mobile/crime/?34750529-d6618ac815636ebe37abfc176aa8c325
Assault,10/28/12. 02:15 AM.,ALUM ROCK AVE/CAPITOL AVE SAN JOSE,37.3623574,-121.8354966,https://spotcrime.com/mobile/crime/?34750528-7e5f1aa06772a9b5f6948c13a7add8df
Assault,10/28/12. 12:25 AM.,3600 BLOCK OF SPRINGBROOK AVENUE SAN JOSE,37.32885,-121.775315,https://spotcrime.com/mobile/crime/?34750527-7f68451f98b4a372689c3b10654ee62b
Shooting,10/28/12. 03:00 AM.,LOCUST AND HUMBOLDT STREETS SAN JOSE,37.3149758,-121.8820082,https://spotcrime.com/mobile/crime/?34493931-084d506387c32573868e5eb88b83221e
Shooting,10/28/12. ,LOCUST AND HUMBOLDT STREETS SAN JOSE,37.3149758,-121.8820082,https://spotcrime.com/mobile/crime/?34469955-eaeb54c2a774d4612e3df7f87f466f4d
Robbery,10/29/12. 02:31 AM.,3600 BLOCK OF PEARLÂ AV SAN JOSE,37.2732366,-121.8694553,https://spotcrime.com/mobile/crime/?34750506-c926b1cba61d84aa5f0db01d9440220f
Robbery,10/29/12. 07:07 PM.,1000 BLOCK OF WHITE ROAD SAN JOSE,37.358564,-121.820753,https://spotcrime.com/mobile/crime/?34708671-084fe7ca7102a2fdc93db4b709464a99
Robbery,10/29/12. 02:31 AM.,3600 BLOCK OF PEARL AVENUE SAN JOSE,37.2732366,-121.8694553,https://spotcrime.com/mobile/crime/?34708670-0f696077b08dda5e7dca8a0423393b6e
Assault,10/30/12. 07:37 PM.,STORY RD./ SENTER Â RD. SAN JOSE,37.3258719,-121.865631,https://spotcrime.com/mobile/crime/?34750511-1504409947d471cbb95e2dce21c2353b
Assault,10/30/12. 05:32 PM.,WINFIELD/THORNWOOD SAN JOSE,37.254572,-121.8662945,https://spotcrime.com/mobile/crime/?34750510-179e445b44cdf51f870c44a4e24f055e
Robbery,10/30/12. 03:03 PM.,CAMDEN AVE./KOOSER AVE. SAN JOSE,37.2401654,-121.9037304,https://spotcrime.com/mobile/crime/?34750509-d83d1ec7cc8de8f2a2a31e70270d4960
Robbery,10/30/12. 09:26 PM.,900 BLOCK OF BLOSSOM HILL ROAD SAN JOSE,37.2503072,-121.860601,https://spotcrime.com/mobile/crime/?34708679-c597bd7a9d6b5ff2a43c7754f998a1b4
Assault,10/30/12. 09:00 PM.,SOUTH 11TH STREET AND BESTOR AVENUE SAN JOSE,37.326199,-121.8688239,https://spotcrime.com/mobile/crime/?34708677-ae1fb17a1cf4fe57a9d0f8b117d35556
Assault,10/30/12. 07:37 PM.,STORY AND SENTER ROADS SAN JOSE,37.325811,-121.8657462,https://spotcrime.com/mobile/crime/?34708676-a5fe894325cd7b68a1dc9dba7a535458
Arrest,10/30/12. 05:32 PM.,WINFIELD BOULEVARD AND THORNWOOD DRIVE SAN JOSE,37.254572,-121.8662945,https://spotcrime.com/mobile/crime/?34708674-109c0d1820cdbd2841a9fb70c4e1309d
Robbery,10/30/12. 09:25 AM.,700 BLOCK OF N. FIRST ST. SAN JOSE,37.3505694,-121.9017975,https://spotcrime.com/mobile/crime/?34708673-2c0b840ae431100f7034464b0e0f2be1
Robbery,10/31/12. 02:30 PM.,S. 1ST ST/FOUNTAIN ALLEY SAN JOSE,37.335687,-121.8902388,https://spotcrime.com/mobile/crime/?34750516-439efdb17203824ca4400fe9c5e088be
Robbery,10/31/12. 11:42 AM.,2900 BLOCK OF  CHILTERN WAY SAN JOSE,37.3520305,-121.8201785,https://spotcrime.com/mobile/crime/?34750515-a76f42ba2fe4787f1ec2901a15839bce
Robbery,10/31/12. 07:57 AM.,4200 BLOCK OF  SENTER RD SAN JOSE,37.2803175,-121.8234215,https://spotcrime.com/mobile/crime/?34750514-e518da86886864791a6d540e4e1b74f2
Robbery,10/31/12. 09:26 PM.,900 BLOCK OF  BLOSSOM HILL RD SAN JOSE,37.2503072,-121.860601,https://spotcrime.com/mobile/crime/?34750513-2125f22049a0db89c45105b7e43368bf
Assault,10/31/12. 02:02 PM.,VIRGINIA AND VINE STREETS SAN JOSE,37.3216214,-121.8856386,https://spotcrime.com/mobile/crime/?34708686-5a03ab3eafb6d64becd1fd190f35d621
Assault,10/31/12. 02:30 PM.,SOUTH FIRST STREET AND FOUNTAIN ALLEY SAN JOSE,37.335687,-121.8902388,https://spotcrime.com/mobile/crime/?34708684-bc2ae37a318bf4e698be5be825adefae
Burglary,10/31/12. 11:42 AM.,2900 BLOCK OF CHILTERN WAY SAN JOSE,37.3520305,-121.8201785,https://spotcrime.com/mobile/crime/?34708683-83479fc818748ff7c797aba49f6e6349
Robbery,10/31/12. 07:57 AM.,4200 BLOCK OF SENTER ROAD SAN JOSE,37.2803175,-121.8234215,https://spotcrime.com/mobile/crime/?34708681-4632f42185aef132ba4b727133828fc9
Arrest,10/31/12. 10:37 PM.,ALUM ROCK AV AND N K SAN JOSE,37.3566348,-121.8474781,https://spotcrime.com/mobile/crime/?34639617-ba413348d636309c88d832b828aaab26
Vandalism,10/31/12. 10:04 PM.,E SAN ANTONIO ST AND SAN JOSE,37.3466673,-121.8594515,https://spotcrime.com/mobile/crime/?34639583-c5aefde977962c622b3c0385b73e3f61
Vandalism,10/31/12. 10:11 PM.,300 BLOCK OF RACE ST SAN JOSE,37.3234417,-121.9113893,https://spotcrime.com/mobile/crime/?34639574-c01ca4e1ae88be0810f6f10e6ad4579e
Vandalism,10/31/12. 11:35 PM.,1400 BLOCK OF FIELDS DR SAN JOSE,37.298245,-121.9947723,https://spotcrime.com/mobile/crime/?34639562-3b011f99745a6cb8d378c1782f8ee62b
Theft,10/31/12. 11:09 PM.,1300 BLOCK OF STORY CT SAN JOSE,37.357335,-121.8045058,https://spotcrime.com/mobile/crime/?34639371-622d1832603a5124fc42a51547a64e1e
Shooting,10/31/12. 11:03 PM.,5700 BLOCK OF VIA MONTE DR SAN JOSE,37.2469095,-121.8776535,https://spotcrime.com/mobile/crime/?34638969-2cdcd1707e0af7cd7a7dd106e6ed4b4e
Shooting,10/31/12. 11:26 PM.,ALUM ROCK AV AND N W SAN JOSE,37.3566348,-121.8474781,https://spotcrime.com/mobile/crime/?34638964-3185ee86521261cf780f221000aa246b
Arrest,10/31/12. 11:21 PM.,3800 BLOCK OF SEVEN TRE SAN JOSE,37.2810686,-121.8320168,https://spotcrime.com/mobile/crime/?34638876-6bf034a3134d497420a631404c20eb63
Assault,10/31/12. 11:11 PM.,2900 BLOCK OF SIERRA RD SAN JOSE,37.394775,-121.8579268,https://spotcrime.com/mobile/crime/?34638018-c0f9ef6114e82c7d0695096301cc77b0
Theft,10/31/12. 10:03 PM.,500 BLOCK OF S WINCHEST SAN JOSE,37.318259,-121.949503,https://spotcrime.com/mobile/crime/?34638004-757718e66107ee2d43852ac855630ea3
Theft,10/31/12. 10:55 PM.,1400 BLOCK OF SUNSHADOW LN SAN JOSE,37.3481928,-121.8202634,https://spotcrime.com/mobile/crime/?34637986-b157c2dd598d98c3805b7a95bca81f57
Burglary,10/31/12. 10:57 PM.,6100 BLOCK OF BOLLINGER RD SAN JOSE,37.3105903,-122.0094291,https://spotcrime.com/mobile/crime/?34637972-12a5d175d4698da5d2c8326867ea2846
Robbery,11/01/12. 03:33 AM.,AIRPORT PKWY./GATEWAY BLVD. SAN JOSE,37.3703869,-121.9213192,https://spotcrime.com/mobile/crime/?34750610-9955e0f0391349c3b222c382eac8eab6
Robbery,11/01/12. 01:16 AM.,0-99 E. SANTA CLARA ST. SAN JOSE,37.3371837,-121.8884855,https://spotcrime.com/mobile/crime/?34750609-5ba40927fc13d8ac1fde9ae3cf8d71df
Arrest,11/01/12. 08:40 PM.,5300 BLOCK OF BORNEO CL SAN JOSE,37.2554775,-121.8285809,https://spotcrime.com/mobile/crime/?34639596-bbee1d2cc909b745d5c6268c557ee241
Arrest,11/01/12. 01:38 PM.,1600 BLOCK OF MONTEREY RD SAN JOSE,37.313518,-121.8709053,https://spotcrime.com/mobile/crime/?34639588-356d0166a35aa23d5ddb9883cf48eed3
Vandalism,11/01/12. 09:59 PM.,FLOYD ST AND ALMADEN AV SAN JOSE,37.3147426,-121.8790877,https://spotcrime.com/mobile/crime/?34639584-692e705536e117dd9515c0e123193d72
Vandalism,11/01/12. 11:14 AM.,700 BLOCK OF ALMADEN AV SAN JOSE,37.3238773,-121.8858948,https://spotcrime.com/mobile/crime/?34639580-c1795d117e21bb66b469337684e9dd62
Vandalism,11/01/12. 05:27 PM.,2000 BLOCK OF E HAMILTO SAN JOSE,37.3421564,-121.7152345,https://spotcrime.com/mobile/crime/?34639570-611cf5aa236c61ade9225eb24155e61d
Vandalism,11/01/12. 09:17 AM.,1700 BLOCK OF AIRPORT BL SAN JOSE,37.3682142,-121.9265604,https://spotcrime.com/mobile/crime/?34639566-56d9fef2ff21e59328dd8f828af72757
Vandalism,11/01/12. 05:28 PM.,1500 BLOCK OF S 7TH ST SAN JOSE,37.3170907,-121.8677192,https://spotcrime.com/mobile/crime/?34639564-d0cb9b83f5d6d0d34f517b28da4b7846
Vandalism,11/01/12. 05:21 PM.,1500 BLOCK OF MOFFO CT SAN JOSE,37.3121396,-121.8239373,https://spotcrime.com/mobile/crime/?34639563-3b13c7a53e143cc6dd90e1739cd75a5d
Vandalism,11/01/12. 04:49 AM.,00 BLOCK OF PHELAN AV SAN JOSE,37.3186099,-121.8581068,https://spotcrime.com/mobile/crime/?34639554-0c9670b8e1967c9d81b66febaa507246
Theft,11/01/12. 09:13 PM.,CUNNINGHAM AV AND S SAN JOSE,37.3340903,-121.8232084,https://spotcrime.com/mobile/crime/?34639512-b97bb3a5fd2824eb0a9a19c3265dc8d8
Theft,11/01/12. 03:22 PM.,600 BLOCK OF N 1ST ST SAN JOSE,37.3469969,-121.8985467,https://spotcrime.com/mobile/crime/?34639493-65fd836d0efdec1eb6557e91790b1426
Theft,11/01/12. 04:11 PM.,600 BLOCK OF E BROKAW RD SAN JOSE,37.3801766,-121.9092562,https://spotcrime.com/mobile/crime/?34639492-b7d0f8da8785f0d542b9ad8d522263a5
Theft,11/01/12. 11:41 PM.,600 BLOCK OF BOYNTON AV SAN JOSE,37.3159347,-121.9660112,https://spotcrime.com/mobile/crime/?34639491-3e010de19002f9e77a33236dfc973932
Theft,11/01/12. 08:09 AM.,500 BLOCK OF ROUGH AND SAN JOSE,37.3737911,-121.842724,https://spotcrime.com/mobile/crime/?34639476-173e34f41d90af951599091234b6ca0e
Theft,11/01/12. 06:47 AM.,500 BLOCK OF LANFAIR CL SAN JOSE,37.27399,-121.8532008,https://spotcrime.com/mobile/crime/?34639474-aee342c25ad0c42176c74ebf9f2fe311
Theft,11/01/12. 11:32 PM.,500 BLOCK OF LANFAIR CL SAN JOSE,37.27399,-121.8532008,https://spotcrime.com/mobile/crime/?34639473-c053d0cc1f413061374a9b080f1ff990
Theft,11/01/12. 11:05 PM.,500 BLOCK OF BRANHAM LA SAN JOSE,37.2651455,-121.8671537,https://spotcrime.com/mobile/crime/?34639470-874ef827ff660b29e30294f337bebe5e
Theft,11/01/12. 09:01 AM.,400 BLOCK OF N WHITE RD SAN JOSE,37.3764382,-121.8366353,https://spotcrime.com/mobile/crime/?34639462-8006d0208d0f262c3f178133e5de1396
Theft,11/01/12. 06:14 AM.,3500 BLOCK OF SLOPEVIEW DR SAN JOSE,37.3323828,-121.7793917,https://spotcrime.com/mobile/crime/?34639454-cab0763a9cacfa91492c605a0390a332
Theft,11/01/12. 11:56 PM.,3400 BLOCK OF MT PRIETA DR SAN JOSE,37.3487296,-121.8022463,https://spotcrime.com/mobile/crime/?34639452-0361142166150bd12fd3d9746008b069
Theft,11/01/12. 11:21 AM.,3100 BLOCK OF DAKAN CT SAN JOSE,37.2797469,-121.8705055,https://spotcrime.com/mobile/crime/?34639445-6e2a7b9c302bed168e1a7cc7769d0f33
Theft,11/01/12. 09:19 PM.,2800 BLOCK OF MCKEE RD SAN JOSE,37.3711546,-121.8412588,https://spotcrime.com/mobile/crime/?34639434-047ff2a929c2c20d099770733ad305d3
Theft,11/01/12. 11:58 AM.,2200 BLOCK OF EASTRIDGE LP SAN JOSE,37.32753,-121.8160245,https://spotcrime.com/mobile/crime/?34639413-d068db4af796f924ca13d10a570309b6
Theft,11/01/12. 07:42 AM.,200 BLOCK OF MUIRFIELD DR SAN JOSE,37.3570336,-121.8379133,https://spotcrime.com/mobile/crime/?34639400-381bde98cd524203dc4b0ed14d28fa93
